0.061158,0.79139,1.7809
0.061158,0.79139,1.7406
0.061158,0.79139,1.7925
0.061158,0.79139,1.6478
0.061158,0.79267,1.797
0.061158,0.79139,1.6478
0.061158,0.90743,1.797
0.061158,0.79139,1.7048
0.084941,0.9234,1.797
0.084941,0.9234,1.797
0.081765,0.9234,1.797
0.081763,0.9234,1.797
0.061158,0.79876,1.797
0.061158,0.79139,1.6478
0.061158,0.79139,1.7955
0.061158,0.85671,1.797
0.084941,0.9234,1.797
0.071271,0.9234,1.797
0.075653,0.9234,1.797
0.061158,0.80967,1.797
0.061158,0.79139,1.6858
0.061158,0.79139,1.7176
0.073019,0.9234,1.797
0.061158,0.82271,1.797
0.061158,0.79139,1.6478
0.061158,0.8026,1.797
0.061158,0.91553,1.797
0.079625,0.9234,1.797
0.011108,0.19476,1.2755
0.011108,0.19476,1.0624
0.011108,0.20265,1.2791
0.011108,0.19476,1.121
0.011108,0.21582,1.2791
0.011108,0.19476,1.0678
0.02032,0.23843,1.2791
0.011108,0.19476,1.0624
0.023667,0.23843,1.2791
0.023667,0.23843,1.2791
0.022802,0.23843,1.2791
0.022802,0.23843,1.2791
0.011108,0.19476,1.2537
0.011108,0.19476,1.0624
0.011108,0.19476,1.2074
0.011108,0.22421,1.2791
0.023667,0.23843,1.2791
0.021173,0.23843,1.2791
0.021709,0.23843,1.2791
0.011108,0.19476,1.0774
0.011108,0.19476,1.234
0.011108,0.22167,1.2791
0.023665,0.23843,1.2791
0.011108,0.19835,1.2791
0.011108,0.19476,1.0624
0.011108,0.20617,1.2791
0.011108,0.23037,1.2791
0.011108,0.21471,1.2791
